2024-11-03 00:42:13.3561 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"follow","Follow":{"IsUnblocked":true},"WebhookEventId":"01JBPRW33R3CRND0W6V6NVZ3HE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730562362459,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":"a5a3145232354d55ae2acb2150ca7b5b","Mode":"active"}]} 
2024-11-03 13:48:59.5705 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"unfollow","Follow":null,"WebhookEventId":"01JBR6AK9TNGGA2XTY84PV0BBE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610023649,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":null,"Mode":"active"}]} 

2024-11-03 13:50:46.1162 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"unfollow","Follow":null,"WebhookEventId":"01JBR6AK9TNGGA2XTY84PV0BBE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610023649,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":null,"Mode":"active"}]} 

2024-11-03 13:52:51.8068 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"unfollow","Follow":null,"WebhookEventId":"01JBR6AK9TNGGA2XTY84PV0BBE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610023649,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":null,"Mode":"active"}]} 

2024-11-03 13:54:53.8849 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"unfollow","Follow":null,"WebhookEventId":"01JBR6AK9TNGGA2XTY84PV0BBE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610023649,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":null,"Mode":"active"}]} 

2024-11-03 13:58:07.0083 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"unfollow","Follow":null,"WebhookEventId":"01JBR6AK9TNGGA2XTY84PV0BBE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610023649,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":null,"Mode":"active"}]} 

2024-11-03 13:58:44.6669 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"unfollow","Follow":null,"WebhookEventId":"01JBR6AK9TNGGA2XTY84PV0BBE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610023649,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":null,"Mode":"active"}]} 

2024-11-03 13:59:00.9880 | DEBUG | JETFWebAPI.Controllers.LineMessageController | {"Destination":"U2d86fcf7d5082d4bcba49735abbcbb95","Events":[{"Type":"unfollow","Follow":null,"WebhookEventId":"01JBR6AK9TNGGA2XTY84PV0BBE","DeliveryContext":{"IsRedelivery":false},"Timestamp":1730610023649,"Source":{"Type":"user","UserId":"U6049dadd9f00210f491422dd0a90e563"},"ReplyToken":null,"Mode":"active"}]} 

